case_id,question_type,query,expected_answer,expected_evidence,has_answer
RAG-001,fact,"北辰agent 当前试运行人数上限是多少？","试运行人数上限为 5 人。","三、试运行范围：试运行人数上限为 5 人。",yes
RAG-002,fact,"当前单个上传文件大小上限是多少？","单个上传文件大小上限为 20MB。","三、试运行范围：单个上传文件大小上限为 20MB。",yes
RAG-003,fact,"系统现在支持哪些文件类型？","支持 TXT、DOCX 和文本型 PDF。","三、试运行范围：推荐测试文件类型为 TXT、DOCX 和文本型 PDF。",yes
RAG-004,summary,"当前系统已经完成了哪些核心能力？","应提到普通 AI 聊天、文件上传自动处理、单文件 RAG、会话和消息持久化、匿名用户隔离等。","二、当前已完成功能。",yes
RAG-005,table,"RAG 质量评估阶段安排在第几天，验收标准是什么？","RAG 质量评估阶段安排在第 7 到 9 天，验收标准是完成至少 10 个 RAG 测试问题记录。","四、试运行任务安排：RAG 质量评估阶段。",yes
RAG-006,table,"当前服务器配置是什么？","服务器为 2 核 2G Ubuntu VPS。","五、预算与资源：服务器 | 2 核 2G Ubuntu VPS。",yes
RAG-007,reasoning,"为什么当前项目暂不适合高并发公开使用？","因为当前使用 SQLite 和本地 JSON VectorStore，适合小范围试用，不适合高并发公开使用。","七、已知限制和风险：当前使用 SQLite 和本地 JSON VectorStore。",yes
RAG-008,reasoning,"为什么每次调整 RAG 参数后必须重新生成文件索引？","因为 chunk_size、chunk_overlap 等参数会影响切块和索引，旧索引不能代表新参数效果。","九、测试注意事项：每次调整 RAG 参数后，必须重新生成文件索引。",yes
RAG-009,no_answer,"文档中有没有提到北辰agent 已经支持微信登录？","根据当前文档内容无法确认；文档明确说明暂不支持微信登录。","三、试运行范围：暂不支持微信登录或手机号登录。",no
RAG-010,no_answer,"文档有没有说明 2028 年海外商业化计划？","根据当前文档内容无法确认。","文档中没有 2028 年海外商业化计划。",no
